runid,start_time,spatial_index,intersect_time,join_time,cluster_time,stop_time,total_time,user_id
676,4/4/2020 17:13,r_tree_local,2.240006924,11.31877613,2.587077856,4/4/2020 17:13,16.14884138,19
677,4/4/2020 17:13,r_tree_local,2.243994951,18.35392332,7.843013287,4/4/2020 17:14,28.44290209,62
678,4/4/2020 17:14,r_tree_local,2.23708725,22.72623777,2.171191216,4/4/2020 17:14,27.13451624,170
679,4/4/2020 17:14,r_tree_local,2.273916483,18.23523927,59.16047072,4/4/2020 17:15,79.67062449,52
680,4/4/2020 17:15,r_tree_local,2.257961988,22.0330801,2.186095238,4/4/2020 17:16,26.4781642,120
681,4/4/2020 17:16,r_tree_local,2.246958733,14.59169102,5.359660149,4/4/2020 17:16,22.20030522,1
682,4/4/2020 17:16,r_tree_local,2.242090702,16.07796001,2.166203737,4/4/2020 17:16,20.48625445,170
683,4/4/2020 17:16,r_tree_local,2.244022846,28.69826388,2.173158407,4/4/2020 17:17,33.11641622,80
684,4/4/2020 17:17,r_tree_local,2.279901028,21.42119455,20.79439259,4/4/2020 17:18,44.49645829,167
685,4/4/2020 17:18,r_tree_local,2.234048843,12.8177042,2.216071129,4/4/2020 17:18,17.26782417,93
686,4/4/2020 17:18,r_tree_local,2.249011517,8.200062037,7.841559649,4/4/2020 17:18,18.29160285,62
687,4/4/2020 17:18,r_tree_local,2.237042427,27.0785377,2.219062805,4/4/2020 17:19,31.53564072,152
688,4/4/2020 17:19,r_tree_local,2.261947155,10.12608671,48.52945042,4/4/2020 17:20,60.91848683,35
689,4/4/2020 17:20,r_tree_local,2.235047579,9.919575214,2.203106165,4/4/2020 17:20,14.35772896,120
690,4/4/2020 17:20,r_tree_local,2.258983135,14.44834375,6.321115017,4/4/2020 17:21,23.03135562,74
691,4/4/2020 17:21,r_tree_local,2.242656469,27.66400456,2.242001772,4/4/2020 17:21,32.14866281,101
692,4/4/2020 17:21,r_tree_local,2.263941765,19.07995415,2.167201042,4/4/2020 17:21,23.51309347,166
693,4/4/2020 17:21,r_tree_local,2.250976563,23.49713731,7.662688971,4/4/2020 17:22,33.41276956,24
694,4/4/2020 17:22,r_tree_local,2.269954443,13.8908093,2.192135096,4/4/2020 17:22,18.35489321,150
695,4/4/2020 17:22,r_tree_local,2.26396966,12.25620866,2.276908398,4/4/2020 17:23,16.79806423,127
696,4/4/2020 17:23,r_tree_local,2.271948576,14.45632291,2.17916894,4/4/2020 17:23,18.90940976,76
697,4/4/2020 17:23,r_tree_local,2.233054876,17.28477621,2.152228832,4/4/2020 17:23,21.67104053,178
698,4/4/2020 17:23,r_tree_local,2.236600876,12.46576166,3.333082438,4/4/2020 17:24,18.03741217,78
699,4/4/2020 17:24,r_tree_local,2.248011112,11.02550459,2.222025394,4/4/2020 17:24,15.4955411,151
700,4/4/2020 17:24,r_tree_local,2.255991936,13.80706167,5.73265624,4/4/2020 17:24,21.79668498,9
701,4/4/2020 17:24,r_tree_local,2.278930902,10.906847,3.570475101,4/4/2020 17:24,16.75819278,26
702,4/4/2020 17:24,r_tree_local,2.277933359,9.379918814,2.16518259,4/4/2020 17:25,13.82403207,154
703,4/4/2020 17:25,r_tree_local,2.256989002,9.118575335,2.169197083,4/4/2020 17:25,13.54575872,158
704,4/4/2020 17:25,r_tree_local,2.245021343,8.723688126,2.182133675,4/4/2020 17:25,13.15181375,49
705,4/4/2020 17:25,r_tree_local,2.246019602,9.146527767,48.04344583,4/4/2020 17:26,59.43599319,35
706,4/4/2020 17:26,r_tree_local,2.246020317,13.45901799,20.77541757,4/4/2020 17:27,36.48338795,167
707,4/4/2020 17:27,r_tree_local,2.253000021,27.77566123,10.6604917,4/4/2020 17:27,40.68915296,141
708,4/4/2020 17:27,r_tree_local,2.258983374,26.56547856,2.187120676,4/4/2020 17:28,31.01257491,76
709,4/4/2020 17:28,r_tree_local,2.254008532,25.26445103,2.197095156,4/4/2020 17:28,29.71555471,145
710,4/4/2020 17:28,r_tree_local,2.244023561,32.96577621,2.177175522,4/4/2020 17:29,37.38697529,154
711,4/4/2020 17:29,r_tree_local,2.244023323,19.85789728,5.377612829,4/4/2020 17:30,27.48150587,1
712,4/4/2020 17:30,r_tree_local,2.266960144,24.27206182,2.587072134,4/4/2020 17:30,29.1280725,83
713,4/4/2020 17:30,r_tree_local,2.295886517,12.99922037,2.17917037,4/4/2020 17:30,17.47524714,53
714,4/4/2020 17:30,r_tree_local,2.260977268,6.205398083,2.189116478,4/4/2020 17:30,10.65549183,72
715,4/4/2020 17:30,r_tree_local,2.238038778,9.599346161,2.724691391,4/4/2020 17:31,14.56404471,73
716,4/4/2020 17:31,r_tree_local,2.240033865,10.47494698,20.93601537,4/4/2020 17:31,33.65299439,167
717,4/4/2020 17:31,r_tree_local,2.254966974,20.35558915,20.85716796,4/4/2020 17:32,43.46971917,167
718,4/4/2020 17:32,r_tree_local,2.237465382,11.64586973,8.317720175,4/4/2020 17:32,22.20202446,50
719,4/4/2020 17:32,r_tree_local,2.254996061,15.05077243,2.209089518,4/4/2020 17:33,19.51682639,137
720,4/4/2020 17:33,r_tree_local,2.263968229,19.38929415,4.335374117,4/4/2020 17:33,25.98964596,71
721,4/4/2020 17:33,r_tree_local,2.323782682,20.99485874,7.459014893,4/4/2020 17:34,30.77765632,39
722,4/4/2020 17:34,r_tree_local,2.249979973,12.10001993,2.160246372,4/4/2020 17:34,16.51024628,178
723,4/4/2020 17:34,r_tree_local,2.27504015,11.90311241,2.156200409,4/4/2020 17:34,16.33535051,162
724,4/4/2020 17:34,r_tree_local,2.234022856,60.09774756,2.449418783,4/4/2020 17:35,64.7811892,113
725,4/4/2020 17:35,r_tree_local,2.234061003,15.34006286,3.606351614,4/4/2020 17:36,21.18241596,122
726,4/4/2020 17:36,r_tree_local,2.229035854,16.48193073,2.242971659,4/4/2020 17:36,20.95493603,49
727,4/4/2020 17:36,r_tree_local,2.239010096,13.68220639,15.686064,4/4/2020 17:37,31.60825062,25
728,4/4/2020 17:37,r_tree_local,2.24612236,10.91183305,9.514544249,4/4/2020 17:37,22.67446661,20
729,4/4/2020 17:37,r_tree_local,2.245020628,19.57114649,10.88088918,4/4/2020 17:37,32.69802666,38
730,4/4/2020 17:37,r_tree_local,2.253537416,25.22132158,2.2789011,4/4/2020 17:38,29.75672865,132
731,4/4/2020 17:38,r_tree_local,2.242506504,22.59162855,3.994326353,4/4/2020 17:38,28.83041835,55
